Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,42,OAK,Menelik Watson,T,24,2017,0,0,2,9,7,34,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,
2,43,TAM,Johnthan Banks,DB,23,2017,0,0,2,12,12,57,0,0,0,0,0,0,0,0,0,0,0,121,7,,Mississippi St.,College Stats
2,44,CAR,Kawann Short,DT,24,2020,0,2,5,40,40,99,0,0,0,0,0,0,0,0,0,0,0,167,,32.5,Purdue,College Stats
2,45,ARI,Kevin Minter,LB,22,2020,0,0,3,24,20,103,0,0,0,0,0,0,0,0,0,0,0,221,,6,LSU,College Stats
2,46,BUF,Kiko Alonso,LB,23,2019,0,0,4,32,9,86,0,0,0,0,0,0,0,0,0,0,0,369,10,3,Oregon,College Stats
2,47,DAL,Gavin Escobar,TE,22,2017,0,0,0,2,2,64,0,0,0,0,0,0,0,0,30,333,8,5,,,San Diego St.,College Stats
2,48,PIT,Le'Veon Bell,RB,21,2020,2,3,5,59,56,85,0,1,0,0,0,1532,6340,39,390,3222,8,,,,Michigan St.,College Stats
2,49,NYG,Johnathan Hankins,DT,21,2020,0,0,7,34,17,110,0,0,0,0,0,0,0,0,0,0,0,182,,13.5,Ohio St.,College Stats
2,50,CHI,Jonathan Bostic,LB,22,2020,0,0,5,25,6,98,0,0,0,0,0,0,0,0,0,0,0,310,3,8.5,Florida,College Stats
2,51,WAS,David Amerson,DB,21,2018,0,0,4,20,7,74,0,0,0,0,0,0,0,0,0,0,0,234,9,,North Carolina St.,College Stats
2,52,NWE,Jamie Collins,LB,23,2020,0,1,7,55,41,108,0,0,0,0,0,0,0,0,0,0,0,430,11,25.5,Southern Miss,College Stats
2,53,CIN,Margus Hunt,DE,26,2020,0,0,1,17,3,100,0,0,0,0,0,0,0,0,0,0,0,74,,7.5,SMU,College Stats
2,54,MIA,Jamar Taylor,DB,22,2020,0,0,2,15,3,98,0,0,0,0,0,0,0,0,0,0,0,216,5,1.5,Boise St.,College Stats
2,55,SFO,Vance McDonald,TE,23,2020,0,0,5,14,5,97,0,0,0,0,0,1,2,0,175,1998,15,6,,,Rice,College Stats
2,56,BAL,Arthur Brown,LB,20,2016,0,0,0,3,2,48,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,Kansas St.,College Stats
2,57,HOU,D.J. Swearinger,DB,22,2020,0,0,5,29,9,107,0,0,0,0,0,0,0,0,0,0,0,324,14,4.5,South Carolina,College Stats
2,58,DEN,Montee Ball,RB,22,2014,0,0,0,8,8,21,0,0,0,0,0,175,731,5,29,207,0,6,,,Wisconsin,College Stats
2,59,NWE,Aaron Dobson,WR,22,2015,0,0,1,6,6,24,0,0,0,0,0,0,0,0,53,698,4,,,,Marshall,College Stats
2,60,ATL,Robert Alford,DB,24,2018,0,0,5,24,24,88,0,0,0,0,0,0,0,0,0,0,0,250,10,,Southeastern Louisiana,
2,61,GNB,Eddie Lacy,RB,23,2017,0,1,3,36,34,60,0,0,0,0,0,857,3614,23,107,947,6,,,,Alabama,College Stats
2,62,SEA,Christine Michael,RB,22,2018,0,0,1,9,8,38,0,0,0,0,0,256,1089,7,26,135,1,,,,Texas A&M,College Stats
3,63,KAN,Travis Kelce,TE,23,2020,2,5,7,59,59,108,1,3,4,0,1,4,6,1,589,7579,45,,,,Cincinnati,College Stats
3,64,JAX,Dwayne Gratz,DB,23,2016,0,0,1,10,10,43,0,0,0,0,0,0,0,0,0,0,0,91,3,,Connecticut,College Stats
3,65,DET,Larry Warford,G,22,2019,0,3,7,47,20,101,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,College Stats
3,66,OAK,Sio Moore,LB,23,2016,0,0,2,15,10,47,0,0,0,0,0,0,0,0,0,0,0,164,,7.5,Connecticut,College Stats
3,67,PHI,Bennie Logan,DT,23,2018,0,0,5,32,21,89,0,0,0,0,0,0,0,0,0,0,0,161,,7,LSU,College Stats
3,68,CLE,Leon McFadden,DB,22,2016,0,0,0,2,1,34,0,0,0,0,0,0,0,0,0,0,0,25,,,San Diego St.,College Stats
3,69,ARI,Tyrann Mathieu,DB,21,2020,2,1,7,39,23,110,0,0,0,0,0,0,0,0,0,0,0,459,22,9,LSU,College Stats
3,70,TEN,Blidi Wreh-Wilson,DB,23,2020,0,0,1,8,6,72,0,0,0,0,0,0,0,0,0,0,0,108,3,,Connecticut,College Stats
3,71,STL,T.J. McDonald,DB,22,2018,0,0,6,25,18,75,0,0,0,0,0,0,0,0,0,0,0,312,8,5,USC,College Stats
3,72,NYJ,Brian Winters,G,22,2020,0,0,6,26,26,101,0,0,0,0,0,0,0,0,0,0,0,,,,Kent St.,
3,73,TAM,Mike Glennon,QB,23,2020,0,0,1,13,11,31,536,878,5678,39,22,48,105,0,0,0,0,,,,North Carolina St.,College Stats
3,74,DAL,Terrance Williams,WR,23,2018,0,0,4,28,28,83,0,0,0,0,0,5,19,0,232,3377,20,,,,Baylor,College Stats
3,75,NOR,Terron Armstead,T,22,2020,0,2,7,47,47,85,0,0,0,0,0,0,0,0,0,0,0,,,,Ark-Pine Bluff,
3,76,SDG,Keenan Allen,WR,21,2020,0,3,7,50,50,98,0,1,0,0,0,14,100,0,614,7328,41,2,1,,California,College Stats
3,77,MIA,Dallas Thomas,T,23,2016,0,0,1,11,11,37,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,
3,78,BUF,Marquise Goodwin,WR,22,2019,0,0,3,18,5,75,0,0,0,0,0,15,89,0,140,2323,13,,,,Texas,College Stats
3,79,PIT,Markus Wheaton,WR,22,2018,0,0,2,13,13,59,0,0,0,0,0,4,19,0,110,1559,8,6,,,Oregon St.,College Stats
3,80,DAL,J.J. Wilcox,DB,22,2018,0,0,2,16,15,77,0,0,0,0,0,0,0,0,0,0,0,173,6,,Georgia Southern,
3,81,NYG,Damontre Moore,DE,20,2020,0,0,0,4,4,63,0,0,0,0,0,0,0,0,0,0,0,68,,11,Texas A&M,College Stats
3,82,NOR,John Jenkins,DT,24,2020,0,0,1,14,10,89,0,0,0,0,0,0,0,0,0,0,0,89,,2.5,Georgia,College Stats
3,83,NWE,Logan Ryan,DB,22,2020,0,0,6,31,15,121,0,0,0,0,0,0,0,0,0,0,0,418,18,12,Rutgers,College Stats
